SEURAT,SC3
24,1
13,23
2,31
37,17
24,6
24,4
24,4
26,6
34,26
29,25
24,4
24,8
17,7
25,13
27,6
34,15
7,10
30,29
24,4
24,4
24,4
16,2
16,39
26,6
24,8
24,4
3,5
10,23
23,12
23,9
24,4
24,4
24,4
6,10
37,17
39,30
24,8
29,1
24,8
27,21
24,4
25,13
33,27
26,6
24,8
17,7
24,10
9,19
34,26
32,12
39,30
16,24
29,4
34,15
17,7
26,6
22,17
24,1
24,4
34,15
17,7
26,6
25,13
31,2
32,4
25,13
26,6
24,12
7,10
13,23
24,8
2,31
2,31
1,17
1,17
1,17
1,17
24,4
6,10
10,23
25,13
21,22
24,4
1,17
24,8
25,4
25,13
25,13
26,6
24,4
34,15
27,12
33,8
28,12
37,17
2,31
24,4
24,4
15,18
24,30
25,4
7,10
24,4
24,8
24,4
7,10
24,4
24,8
25,13
24,8
24,4
8,23
29,30
24,8
24,8
14,23
34,15
3,5
29,12
29,12
24,12
29,12
9,19
24,8
31,12
25,1
9,23
24,4
26,6
24,4
30,29
30,29
30,29
24,8
24,4
24,4
24,4
24,4
26,6
33,20
24,8
3,5
24,4
24,4
24,4
27,29
25,13
22,18
24,4
32,27
24,8
25,13
26,12
24,4
25,12
34,15
24,1
24,12
24,2
25,13
39,30
24,8
34,15
24,4
34,15
24,12
27,6
34,3
33,6
27,33
24,4
31,6
24,4
24,4
24,8
34,26
10,23
24,4
1,17
34,6
24,4
25,4
25,4
25,4
25,4
25,4
24,4
24,4
24,4
20,12
31,2
24,4
24,4
17,12
31,2
34,26
24,4
24,4
32,27
3,5
3,5
3,5
3,5
3,5
7,10
24,8
24,4
9,19
24,4
27,21
25,13
25,28
24,4
26,6
24,4
29,25
26,6
2,31
24,8
24,4
7,10
24,8
15,12
6,10
26,6
26,6
24,8
29,12
24,4
26,12
24,4
9,19
24,6
24,4
9,19
24,4
25,6
24,4
24,4
16,12
24,4
33,20
24,4
24,8
4,23
2,31
22,4
24,4
24,4
24,8
29,25
37,17
4,23
30,29
12,11
33,12
24,4
24,4
30,29
33,20
24,8
24,8
24,4
27,4
24,8
1,17
24,4
24,4
26,6
23,9
24,4
25,13
26,6
24,4
17,1
24,4
24,4
11,11
24,4
24,4
20,16
25,13
24,4
24,8
25,28
8,23
24,4
34,26
24,4
2,31
24,4
29,30
9,19
26,6
24,22
12,11
24,4
24,4
30,29
24,8
27,4
1,17
1,17
1,17
1,17
24,4
18,22
12,11
26,6
24,4
34,26
26,6
24,4
24,8
26,6
24,8
28,14
9,19
24,4
17,7
24,8
28,14
26,6
24,4
25,13
20,12
28,14
31,10
24,4
20,16
25,12
26,12
22,12
7,10
24,4
24,8
24,4
24,4
23,12
24,4
24,4
34,15
24,8
27,12
24,8
39,30
20,1
24,4
31,12
27,4
31,2
26,6
26,6
24,4
25,1
24,4
24,12
26,6
25,13
25,13
25,13
25,13
24,4
24,4
8,23
8,23
8,23
8,23
15,14
26,6
24,4
28,20
25,13
24,4
24,4
24,8
24,4
9,19
25,13
24,4
25,13
24,4
34,15
25,13
24,4
24,12
24,8
11,23
26,6
24,4
25,12
24,12
24,8
25,13
25,13
24,4
2,31
23,9
2,31
24,4
25,13
24,8
28,14
34,15
24,8
24,4
17,7
26,6
24,8
12,23
24,8
5,10
23,9
24,8
17,7
7,10
26,6
12,10
26,6
24,8
24,4
3,5
28,14
25,1
24,4
16,24
24,4
10,23
15,1
24,4
24,4
25,4
24,30
24,4
24,4
1,17
30,29
34,15
24,8
24,4
9,23
24,8
10,12
3,5
24,8
24,4
13,11
25,13
24,1
26,6
23,9
25,13
24,1
26,6
8,23
26,6
16,12
24,4
24,4
2,31
24,4
22,18
24,4
24,8
34,26
24,8
22,9
21,12
11,1
24,4
24,4
24,1
3,5
24,4
24,4
25,13
12,11
33,20
17,7
24,4
34,26
23,9
24,22
12,30
33,23
24,30
24,4
34,15
26,6
25,38
26,6
24,4
7,10
3,5
7,10
26,6
25,13
24,4
33,3
24,4
24,4
24,4
33,27
37,17
24,8
9,19
25,13
35,30
25,28
25,1
24,8
27,30
28,14
34,15
25,4
24,8
7,10
26,6
24,4
22,18
24,4
30,29
24,4
27,21
24,4
24,8
16,24
24,4
14,23
37,17
24,4
24,8
29,25
24,4
11,11
17,1
26,6
24,4
28,4
33,6
27,21
2,31
2,31
2,31
2,31
2,31
2,31
24,4
26,6
26,6
24,8
24,4
24,8
24,4
22,12
24,1
24,4
24,12
25,13
26,6
33,20
24,4
10,23
24,4
21,22
25,13
24,4
13,23
37,17
23,9
26,6
24,4
27,1
9,19
34,15
25,13
24,1
6,10
24,8
26,6
37,17
16,24
24,8
9,19
9,19
9,23
9,23
37,17
37,17
37,17
29,35
24,4
29,1
15,18
24,12
33,20
39,30
23,23
9,19
28,14
34,26
24,4
21,7
7,12
26,6
24,4
13,23
7,10
24,10
24,4
33,4
24,4
29,12
25,1
24,4
24,4
25,1
37,17
24,4
24,4
24,4
14,12
24,8
24,4
8,23
34,26
24,8
26,6
12,11
25,4
25,4
25,4
25,4
26,6
32,12
24,4
24,1
24,1
24,1
24,1
33,20
24,4
37,17
34,26
24,4
30,29
21,22
25,13
24,8
25,13
24,8
22,17
29,14
31,23
25,13
24,8
31,4
22,18
24,30
24,4
17,7
24,8
24,4
24,4
25,1
28,14
25,13
23,9
25,13
24,39
24,4
38,30
24,11
24,4
26,6
32,27
24,4
29,12
24,4
21,6
20,16
25,13
24,4
24,4
25,13
16,24
24,4
37,17
33,20
25,13
24,4
24,4
24,8
24,8
28,14
10,23
24,7
34,15
6,10
28,20
28,14
34,15
23,9
24,4
31,2
7,10
12,4
12,4
12,4
27,6
34,15
24,4
24,8
18,22
3,5
26,6
23,9
24,8
20,1
24,4
1,17
26,6
23,9
7,10
11,11
34,15
10,23
17,7
11,11
24,30
26,6
25,13
24,4
24,4
24,4
20,12
30,29
2,31
2,31
2,31
2,31
25,13
25,13
24,4
25,13
24,12
8,23
24,8
25,13
34,15
7,10
34,12
25,13
24,8
33,12
26,6
17,7
12,11
24,8
25,13
26,6
25,13
33,20
24,4
34,26
1,17
16,24
29,14
24,8
24,4
24,4
26,6
24,8
19,17
23,9
24,4
11,11
24,4
25,13
7,10
24,12
7,10
24,8
24,1
24,8
37,17
24,4
26,6
24,4
25,13
24,8
24,4
26,1
22,18
24,4
28,12
26,6
24,4
16,24
24,4
24,8
2,31
20,4
24,4
24,4
24,4
34,26
28,14
24,1
24,4
24,4
25,13
24,27
24,4
26,6
24,8
24,4
24,4
1,17
30,29
25,13
9,23
22,16
25,13
31,2
24,8
26,6
24,4
32,27
27,21
25,1
25,13
24,4
24,4
34,15
26,6
24,8
24,4
1,17
34,26
24,8
24,4
31,2
24,4
34,15
24,4
33,20
34,26
24,4
25,13
24,4
24,4
24,4
25,13
24,4
12,4
24,11
24,11
24,4
7,10
24,4
11,11
20,12
24,4
24,4
24,4
25,38
30,29
26,6
26,6
32,27
12,23
24,8
24,4
28,29
17,7
24,4
17,7
24,8
2,31
24,8
25,13
24,4
24,4
24,4
25,1
27,2
24,4
25,8
7,10
33,20
22,3
24,8
27,37
24,4
24,8
26,6
24,4
24,4
24,4
26,6
24,4
9,19
25,13
31,8
24,8
10,23
26,6
34,15
33,20
34,26
24,8
24,4
11,23
24,4
24,8
24,4
24,8
24,4
24,4
31,12
24,4
16,24
13,23
37,17
24,8
33,20
33,11
24,4
9,19
9,19
9,19
9,19
33,20
33,20
24,4
26,12
33,3
7,10
33,37
25,13
28,14
7,23
27,8
22,12
30,4
25,13
31,2
34,15
24,8
24,4
24,4
29,25
24,4
8,23
24,12
24,4
24,1
24,8
20,16
24,4
18,22
24,4
24,6
24,4
24,4
24,4
24,4
24,4
25,13
37,17
27,6
7,10
24,8
2,31
24,4
29,12
27,21
24,8
24,30
24,8
26,6
37,17
24,8
28,14
12,11
34,15
25,13
24,8
25,36
21,12
24,8
7,10
25,13
9,19
7,10
25,12
21,12
25,4
24,4
25,28
34,26
33,6
26,6
24,4
34,26
25,13
25,1
24,8
7,10
34,15
24,30
23,9
33,12
25,13
28,14
24,4
8,23
37,17
29,4
33,30
7,10
25,4
26,6
26,6
12,11
34,15
23,8
24,4
33,20
9,39
24,8
24,4
24,4
27,6
20,12
29,25
24,4
24,12
29,12
24,12
33,20
37,17
24,4
28,14
25,13
9,23
24,12
34,15
34,26
15,18
25,13
12,11
25,13
25,13
24,4
8,23
31,8
24,8
24,4
25,13
24,8
16,24
25,13
24,8
33,20
24,8
33,12
24,4
25,13
21,4
30,1
33,11
24,8
24,4
24,4
24,4
24,4
24,8
30,29
24,8
24,25
29,6
25,13
24,8
12,11
24,8
31,2
33,14
25,13
24,4
25,13
25,13
9,19
21,22
24,4
24,4
24,1
24,4
24,1
27,21
24,8
24,4
25,4
26,6
28,14
24,4
24,4
25,13
31,12
26,6
22,18
25,12
19,17
29,25
24,4
37,17
10,23
30,29
31,2
26,6
25,1
30,29
24,8
30,8
34,15
24,8
29,25
34,15
24,4
26,6
24,8
25,32
26,6
25,4
24,12
3,5
24,4
12,23
25,13
24,4
24,4
24,4
26,6
37,17
24,8
24,4
2,31
24,4
25,13
31,2
24,4
26,6
26,6
10,23
26,6
24,8
24,4
10,23
9,19
33,20
24,8
24,12
24,4
24,4
33,8
25,1
21,20
9,19
23,3
15,18
24,8
26,6
24,4
24,4
31,2
9,19
9,19
26,6
24,1
35,30
25,1
24,4
24,4
24,8
26,6
24,8
30,29
26,6
16,24
24,1
25,1
37,17
24,4
25,1
24,4
24,8
24,8
20,16
25,12
24,8
24,4
24,8
26,37
9,19
24,4
34,15
33,20
15,12
24,4
3,5
24,4
24,4
34,26
33,12
20,16
33,27
34,26
6,10
6,10
6,1
25,13
31,2
10,23
25,38
12,11
12,1
28,6
3,5
12,11
34,15
24,4
34,13
28,14
24,4
3,5
24,4
23,9
12,11
17,7
24,12
25,13
24,6
24,8
20,12
28,6
7,10
37,17
26,6
24,4
7,10
25,13
11,11
26,6
24,4
34,26
24,8
22,18
5,23
34,15
24,4
9,19
24,4
34,15
24,4
24,4
1,17
24,8
24,4
24,4
25,4
8,23
24,4
33,20
24,4
25,13
24,4
25,13
