ARI,Dataset,Fraction
0.4551737,Deng,20
0.2704497,Deng,20
0.3575856,Deng,20
0.3577904,Deng,20
0.4123776,Deng,20
0.3723189,Deng,20
0.4625287,Deng,20
0.4627582,Deng,20
0.3614377,Deng,20
0.3586982,Deng,20
0.3353782,Deng,20
0.3462006,Deng,20
0.4216793,Deng,20
0.4106907,Deng,20
0.3846388,Deng,20
0.3574498,Deng,20
0.3624991,Deng,20
0.4082274,Deng,20
0.3657585,Deng,20
0.4086011,Deng,20
0.4016812,Deng,20
0.4924425,Deng,20
0.448412,Deng,20
0.3702546,Deng,20
0.3946785,Deng,20
0.3756237,Deng,20
0.3856595,Deng,20
0.3607401,Deng,20
0.3831217,Deng,20
0.4514966,Deng,20
0.4751038,Deng,20
0.4150064,Deng,20
0.3532641,Deng,20
0.3506075,Deng,20
0.3866161,Deng,20
0.41354,Deng,20
0.4205146,Deng,20
0.3549592,Deng,20
0.3260099,Deng,20
0.3709421,Deng,20
0.3990264,Deng,20
0.426019,Deng,20
0.3874541,Deng,20
0.4044599,Deng,20
0.3896865,Deng,20
0.3658208,Deng,20
0.4037227,Deng,20
0.4228863,Deng,20
0.4503628,Deng,20
0.3467475,Deng,20
0.3654166,Deng,20
0.4162118,Deng,20
0.3264592,Deng,20
0.4220522,Deng,20
0.3166104,Deng,20
0.391541,Deng,20
0.4676021,Deng,20
0.4552522,Deng,20
0.380135,Deng,20
0.417429,Deng,20
0.41709,Deng,20
0.4051606,Deng,20
0.4167329,Deng,20
0.4727552,Deng,20
0.4162775,Deng,20
0.3990023,Deng,20
0.3900082,Deng,20
0.4176348,Deng,20
0.4498325,Deng,20
0.3855975,Deng,20
0.4549759,Deng,20
0.3609335,Deng,20
0.3298073,Deng,20
0.4515199,Deng,20
0.3759754,Deng,20
0.4025779,Deng,20
0.5197484,Deng,20
0.4344448,Deng,20
0.4031342,Deng,20
0.436039,Deng,20
0.328273,Deng,20
0.427743,Deng,20
0.4432838,Deng,20
0.4184798,Deng,30
0.4200468,Deng,30
0.3948361,Deng,30
0.3814683,Deng,30
0.3776549,Deng,30
0.3436476,Deng,30
0.3309061,Deng,30
0.3932607,Deng,30
0.4317007,Deng,30
0.3630607,Deng,30
0.3911533,Deng,30
0.3661175,Deng,30
0.3713418,Deng,30
0.392631,Deng,30
0.4564071,Deng,30
0.3909148,Deng,30
0.396985,Deng,30
0.4282705,Deng,30
0.363258,Deng,30
0.3563913,Deng,30
0.4013634,Deng,30
0.4256626,Deng,30
0.3574147,Deng,30
0.4330486,Deng,30
0.3770465,Deng,30
0.3933045,Deng,30
0.3660488,Deng,30
0.3752313,Deng,30
0.3938302,Deng,30
0.4128417,Deng,30
0.388713,Deng,30
0.3639447,Deng,30
0.4120467,Deng,30
0.352275,Deng,30
0.4321798,Deng,30
0.4103661,Deng,30
0.3904529,Deng,30
0.4131042,Deng,30
0.3828386,Deng,30
0.4129193,Deng,30
0.405718,Deng,30
0.4100847,Deng,30
0.3866983,Deng,30
0.441195,Deng,30
0.3649742,Deng,30
0.3990349,Deng,30
0.398302,Deng,30
0.4215844,Deng,30
0.3699372,Deng,30
0.4174126,Deng,30
0.3312579,Deng,30
0.4049641,Deng,30
0.4304012,Deng,30
0.3945812,Deng,30
0.4048982,Deng,30
0.3900845,Deng,30
0.3959482,Deng,30
0.4064166,Deng,30
0.4203035,Deng,30
0.4050939,Deng,30
0.423101,Deng,30
0.4305874,Deng,30
0.3871255,Deng,30
0.4254517,Deng,30
0.400343,Deng,30
0.3925899,Deng,30
0.3545318,Deng,30
0.4131428,Deng,30
0.4269768,Deng,30
0.389717,Deng,30
0.382912,Deng,30
0.313819,Deng,30
0.3972223,Deng,30
0.4269471,Deng,30
0.430082,Deng,30
0.4069904,Deng,30
0.3786304,Deng,30
0.3641765,Deng,30
0.4367029,Deng,30
0.4239051,Deng,30
0.3955257,Deng,30
0.4311657,Deng,30
0.4114681,Deng,30
0.4160106,Deng,30
0.3973298,Deng,30
0.4046151,Deng,30
0.4000112,Deng,30
0.431904,Deng,30
0.3830621,Deng,30
0.3427098,Deng,30
0.369573,Deng,30
0.3787655,Deng,30
0.4012545,Deng,30
0.4083458,Deng,30
0.41572,Deng,30
0.3979695,Deng,30
0.4253456,Deng,30
0.40935,Deng,30
0.4325183,Deng,30
0.4215106,Deng,30
0.3787535,Deng,40
0.4345711,Deng,40
0.4312817,Deng,40
0.4147055,Deng,40
0.4179117,Deng,40
0.3733184,Deng,40
0.4658862,Deng,40
0.4122684,Deng,40
0.4542875,Deng,40
0.3787314,Deng,40
0.4073972,Deng,40
0.4422463,Deng,40
0.4089887,Deng,40
0.466803,Deng,40
0.4137247,Deng,40
0.4017885,Deng,40
0.3890272,Deng,40
0.4605653,Deng,40
0.4128696,Deng,40
0.4191618,Deng,40
0.4074959,Deng,40
0.4090237,Deng,40
0.4184809,Deng,40
0.4327691,Deng,40
0.4090322,Deng,40
0.4006594,Deng,40
0.3998493,Deng,40
0.4274838,Deng,40
0.4185488,Deng,40
0.4142248,Deng,40
0.4209039,Deng,40
0.3514887,Deng,40
0.436046,Deng,40
0.4170246,Deng,40
0.4163211,Deng,40
0.4206402,Deng,40
0.5049234,Deng,40
0.3923183,Deng,40
0.4013215,Deng,40
0.3984412,Deng,40
0.3972691,Deng,40
0.4095628,Deng,40
0.4195241,Deng,40
0.4099977,Deng,40
0.4613832,Deng,40
0.4208661,Deng,40
0.3910259,Deng,40
0.4106421,Deng,40
0.3884642,Deng,40
0.4340596,Deng,40
0.4293706,Deng,40
0.4087181,Deng,40
0.4101328,Deng,40
