ARI,Dataset,Fraction
0.8027425,Deng,40
0.799111,Deng,40
0.8148502,Deng,40
0.7167891,Deng,40
0.959355,Deng,40
0.8725714,Deng,40
0.8447176,Deng,40
0.9472116,Deng,40
0.8336161,Deng,40
0.6765356,Deng,40
0.8119416,Deng,40
0.7274628,Deng,40
0.944643,Deng,40
0.845985,Deng,40
0.7679995,Deng,40
0.9246092,Deng,40
0.8372798,Deng,40
0.883957,Deng,40
0.7999309,Deng,40
0.8515386,Deng,40
0.7505724,Deng,40
0.7491381,Deng,40
0.8969527,Deng,40
0.7728565,Deng,40
0.9396055,Deng,40
0.875063,Deng,40
0.8321474,Deng,40
0.7480569,Deng,40
0.8005181,Deng,40
0.8845213,Deng,40
0.8611929,Deng,40
0.7202009,Deng,40
0.7652854,Deng,40
0.8770747,Deng,40
0.9282406,Deng,40
0.9396803,Deng,40
0.6348226,Deng,40
0.846006,Deng,40
0.912781,Deng,40
0.7161261,Deng,40
0.8734756,Deng,40
0.905048,Deng,40
0.8324561,Deng,40
0.8402693,Deng,40
0.9167316,Deng,40
0.8829777,Deng,40
0.9013669,Deng,40
0.8786601,Deng,40
0.7029281,Deng,40
0.874761,Deng,40
0.8932093,Deng,40
0.8884962,Deng,40
0.8537038,Deng,40
0.7826901,Deng,40
0.7493687,Deng,40
0.7983403,Deng,40
0.6175391,Deng,40
0.8506434,Deng,40
0.9307873,Deng,40
0.7491296,Deng,40
0.8602644,Deng,40
0.7850762,Deng,40
0.879104,Deng,40
0.8250822,Deng,40
0.9181163,Deng,40
0.9439754,Deng,50
0.853257,Deng,50
0.8478067,Deng,50
0.9216275,Deng,50
0.9214919,Deng,50
0.934928,Deng,50
0.9358117,Deng,50
0.7302442,Deng,50
0.9273761,Deng,50
0.8844361,Deng,50
0.8733877,Deng,50
0.8838293,Deng,50
0.9445626,Deng,50
0.8761556,Deng,50
0.9477271,Deng,50
0.8969529,Deng,50
0.9464401,Deng,50
0.9057361,Deng,50
0.9454734,Deng,50
0.8103847,Deng,50
0.9373368,Deng,50
0.8466522,Deng,50
0.9758525,Deng,50
0.8720023,Deng,50
0.8878611,Deng,50
0.89872,Deng,50
0.8482262,Deng,50
0.9186494,Deng,50
0.9572812,Deng,50
0.9187725,Deng,50
0.9170489,Deng,50
0.7369596,Deng,50
0.9355446,Deng,50
0.9285449,Deng,50
0.846405,Deng,50
0.8352111,Deng,50
0.9011868,Deng,50
0.8903444,Deng,50
0.8120553,Deng,50
0.9755975,Deng,50
0.9817005,Deng,50
0.8872297,Deng,50
0.9369955,Deng,50
0.8199325,Deng,50
0.7789853,Deng,50
0.8733459,Deng,50
0.7898048,Deng,50
0.9543585,Deng,50
